Crime Latitude,Crime Longitude,Borough,Crime Type,Severity,Time of Crime,Time of Suspect Apprehension,Apprehension Location
51.529664,-0.096533,Tower Hamlets,Bicycle theft,Low,2024-06-23 17:57:00,2024-06-25 05:57:00,"(51.487842, -0.110504)"
51.488474,-0.105552,Westminster,Drugs,Medium,2024-01-26 20:09:00,2024-01-27 18:09:00,"(51.481864, -0.112781)"
51.525403,-0.081752,Camden,Theft,Low,2024-02-15 15:26:00,2024-02-17 01:26:00,"(51.498445, -0.078715)"
51.481642,-0.079444,Camden,Shoplifting,Low,2024-12-15 09:09:00,2024-12-17 02:09:00,"(51.509495, -0.114919)"
51.488285,-0.094173,Hackney,Shoplifting,Low,2024-03-27 08:03:00,2024-03-27 16:03:00,"(51.485498, -0.104077)"
51.521419,-0.09737,Tower Hamlets,Burglary,Medium,2024-02-20 03:26:00,2024-02-22 03:26:00,"(51.505044, -0.114856)"
51.528896,-0.117657,Camden,Theft,Low,2024-01-19 20:06:00,2024-01-21 19:06:00,"(51.502629, -0.095973)"
51.482443,-0.096544,Camden,Shoplifting,Low,2024-02-25 20:38:00,2024-02-26 13:38:00,"(51.506246, -0.099452)"
51.52899,-0.104566,Hackney,Shoplifting,Low,2024-04-19 11:36:00,2024-04-19 23:36:00,"(51.510119, -0.106958)"
51.501337,-0.08526,City of London,Drugs,Medium,2024-12-11 21:39:00,2024-12-13 21:39:00,"(51.51616, -0.104388)"
51.509636,-0.093472,City of London,Shoplifting,Low,2024-06-19 13:18:00,2024-06-19 21:18:00,"(51.513668, -0.075973)"
51.516289,-0.075486,City of London,Bicycle theft,Low,2024-09-06 04:27:00,2024-09-07 15:27:00,"(51.521985, -0.07077)"
51.482011,-0.096583,Tower Hamlets,Theft,Low,2024-09-07 03:22:00,2024-09-07 07:22:00,"(51.50011, -0.109475)"
51.503555,-0.10228,City of London,Burglary,Medium,2024-01-17 08:59:00,2024-01-17 12:59:00,"(51.525388, -0.082107)"
51.500569,-0.117097,Tower Hamlets,Theft,Low,2024-06-27 20:17:00,2024-06-29 01:17:00,"(51.483908, -0.09831)"
51.481323,-0.119646,Southwark,Public order,Medium,2024-08-03 23:52:00,2024-08-05 09:52:00,"(51.485723, -0.072074)"
51.525574,-0.111313,Southwark,Shoplifting,Low,2024-03-15 23:10:00,2024-03-16 13:10:00,"(51.488451, -0.082734)"
51.51956,-0.070226,Hackney,Violence and sexual offences,High,2024-05-16 19:34:00,2024-05-18 10:34:00,"(51.482874, -0.082045)"
51.517685,-0.111533,Camden,Shoplifting,Low,2024-01-21 09:18:00,2024-01-23 09:18:00,"(51.494368, -0.073003)"
51.525652,-0.117766,Westminster,Public order,Medium,2024-10-04 20:05:00,2024-10-05 11:05:00,"(51.520022, -0.117602)"
51.526099,-0.07357,Hackney,Robbery,High,2024-05-01 22:20:00,2024-05-02 18:20:00,"(51.480304, -0.081535)"
51.486278,-0.083999,Southwark,Theft,Low,2024-03-01 22:18:00,2024-03-03 16:18:00,"(51.48605, -0.074354)"
51.491371,-0.070828,Hackney,Burglary,Medium,2024-07-21 06:00:00,2024-07-21 21:00:00,"(51.498392, -0.088915)"
51.524345,-0.075122,Islington,Shoplifting,Low,2024-08-22 11:03:00,2024-08-23 13:03:00,"(51.504568, -0.079307)"
51.492112,-0.110692,Hackney,Drugs,Medium,2024-10-08 13:27:00,2024-10-08 16:27:00,"(51.511019, -0.081655)"
51.507219,-0.089187,Westminster,Violence and sexual offences,High,2024-08-02 20:52:00,2024-08-03 17:52:00,"(51.512819, -0.106651)"
51.484031,-0.115987,City of London,Bicycle theft,Low,2024-02-21 22:57:00,2024-02-21 23:57:00,"(51.52973, -0.114476)"
51.522137,-0.085612,City of London,Bicycle theft,Low,2024-03-04 04:20:00,2024-03-04 17:20:00,"(51.510743, -0.108829)"
51.520629,-0.111546,City of London,Robbery,High,2024-10-02 23:41:00,2024-10-04 21:41:00,"(51.512112, -0.116943)"
51.481102,-0.115116,City of London,Violence and sexual offences,High,2024-06-09 13:04:00,2024-06-10 21:04:00,"(51.51174, -0.10479)"
51.521635,-0.076225,Southwark,Burglary,Medium,2024-11-01 16:28:00,2024-11-02 00:28:00,"(51.498155, -0.113978)"
51.506404,-0.097089,Hackney,Burglary,Medium,2024-07-07 17:28:00,2024-07-08 08:28:00,"(51.516916, -0.105796)"
51.506297,-0.072674,Westminster,Shoplifting,Low,2024-01-28 14:20:00,2024-01-29 14:20:00,"(51.496375, -0.115113)"
51.494797,-0.070351,Southwark,Theft,Low,2024-02-02 13:25:00,2024-02-03 21:25:00,"(51.49079, -0.075616)"
51.52806,-0.115462,Westminster,Public order,Medium,2024-10-11 15:57:00,2024-10-13 12:57:00,"(51.527168, -0.112867)"
51.497186,-0.094973,City of London,Public order,Medium,2024-11-18 01:30:00,2024-11-19 04:30:00,"(51.50318, -0.091919)"
51.529129,-0.100282,Westminster,Burglary,Medium,2024-04-24 17:41:00,2024-04-25 08:41:00,"(51.490768, -0.086338)"
51.520457,-0.094923,Hackney,Burglary,Medium,2024-04-12 03:59:00,2024-04-14 02:59:00,"(51.504905, -0.082474)"
51.505229,-0.088457,Camden,Drugs,Medium,2024-10-19 07:58:00,2024-10-21 02:58:00,"(51.52026, -0.073823)"
51.49941,-0.081521,City of London,Drugs,Medium,2024-09-01 11:17:00,2024-09-02 08:17:00,"(51.500209, -0.085617)"
51.50146,-0.089274,City of London,Violence and sexual offences,High,2024-04-04 00:30:00,2024-04-04 02:30:00,"(51.52113, -0.077134)"
51.499408,-0.104458,Southwark,Bicycle theft,Low,2024-05-06 12:04:00,2024-05-08 06:04:00,"(51.500121, -0.080628)"
51.509932,-0.083915,Hackney,Violence and sexual offences,High,2024-03-22 21:46:00,2024-03-24 05:46:00,"(51.521696, -0.105877)"
51.488947,-0.104817,Tower Hamlets,Drugs,Medium,2024-12-18 15:09:00,2024-12-19 20:09:00,"(51.490724, -0.092656)"
51.482233,-0.093783,City of London,Drugs,Medium,2024-07-18 12:35:00,2024-07-19 20:35:00,"(51.499641, -0.07862)"
51.496381,-0.119851,Islington,Burglary,Medium,2024-08-20 18:55:00,2024-08-22 02:55:00,"(51.496952, -0.10554)"
51.527282,-0.084576,Hackney,Shoplifting,Low,2024-02-08 04:35:00,2024-02-09 16:35:00,"(51.507473, -0.070435)"
51.485493,-0.097141,Islington,Public order,Medium,2024-08-20 11:38:00,2024-08-22 08:38:00,"(51.518369, -0.08042)"
51.495075,-0.081611,Westminster,Robbery,High,2024-01-27 23:54:00,2024-01-28 22:54:00,"(51.514562, -0.071966)"
51.526162,-0.071421,Camden,Burglary,Medium,2024-12-06 02:32:00,2024-12-07 08:32:00,"(51.523654, -0.086894)"
51.52604,-0.114976,City of London,Robbery,High,2024-07-19 20:47:00,2024-07-21 15:47:00,"(51.527643, -0.090921)"
51.509258,-0.090708,Hackney,Burglary,Medium,2024-06-11 06:10:00,2024-06-13 02:10:00,"(51.491903, -0.074513)"
51.483402,-0.08839,City of London,Drugs,Medium,2024-09-07 23:58:00,2024-09-08 04:58:00,"(51.492208, -0.072097)"
51.509738,-0.100192,Camden,Shoplifting,Low,2024-04-10 15:40:00,2024-04-11 08:40:00,"(51.493299, -0.070126)"
51.522479,-0.088207,City of London,Drugs,Medium,2024-11-14 06:02:00,2024-11-15 06:02:00,"(51.492962, -0.115082)"
51.516779,-0.099216,Islington,Public order,Medium,2024-12-28 11:45:00,2024-12-30 07:45:00,"(51.523039, -0.115825)"
51.523389,-0.115971,City of London,Theft,Low,2024-01-10 12:17:00,2024-01-11 08:17:00,"(51.511676, -0.108024)"
51.482866,-0.103562,City of London,Theft,Low,2024-12-08 20:54:00,2024-12-09 06:54:00,"(51.519773, -0.087768)"
51.504543,-0.070918,Westminster,Robbery,High,2024-04-03 17:44:00,2024-04-04 06:44:00,"(51.514743, -0.082081)"
51.529433,-0.113186,Tower Hamlets,Robbery,High,2024-06-23 00:25:00,2024-06-23 20:25:00,"(51.494343, -0.081678)"
51.526145,-0.078459,Westminster,Theft,Low,2024-03-04 05:36:00,2024-03-06 05:36:00,"(51.510744, -0.11143)"
51.49757,-0.089232,Southwark,Shoplifting,Low,2024-10-20 07:15:00,2024-10-21 05:15:00,"(51.496468, -0.080658)"
51.498244,-0.074834,City of London,Theft,Low,2024-09-15 01:46:00,2024-09-15 15:46:00,"(51.529595, -0.083095)"
51.508047,-0.096335,Islington,Drugs,Medium,2024-08-26 15:02:00,2024-08-27 20:02:00,"(51.502945, -0.098959)"
51.483995,-0.089621,Hackney,Violence and sexual offences,High,2024-07-12 00:40:00,2024-07-12 16:40:00,"(51.494356, -0.109722)"
51.480928,-0.104332,Islington,Bicycle theft,Low,2024-12-17 04:07:00,2024-12-17 14:07:00,"(51.507609, -0.07121)"
51.521722,-0.090018,Camden,Shoplifting,Low,2024-01-18 01:48:00,2024-01-18 12:48:00,"(51.511057, -0.118391)"
51.52485,-0.096646,Southwark,Public order,Medium,2024-01-23 01:24:00,2024-01-24 15:24:00,"(51.504875, -0.073049)"
51.491354,-0.072178,City of London,Burglary,Medium,2024-04-08 10:12:00,2024-04-09 22:12:00,"(51.507927, -0.117238)"
51.521941,-0.107609,Camden,Bicycle theft,Low,2024-06-23 08:01:00,2024-06-24 18:01:00,"(51.513527, -0.092416)"
51.481793,-0.098681,City of London,Public order,Medium,2024-12-27 11:59:00,2024-12-27 18:59:00,"(51.495289, -0.083626)"
51.497937,-0.081362,Southwark,Theft,Low,2024-11-27 22:45:00,2024-11-29 22:45:00,"(51.505075, -0.087279)"
51.520045,-0.078034,Camden,Theft,Low,2024-01-23 23:43:00,2024-01-24 09:43:00,"(51.517199, -0.094572)"
51.508995,-0.087862,Hackney,Theft,Low,2024-02-04 19:41:00,2024-02-05 21:41:00,"(51.506257, -0.107616)"
51.490825,-0.094765,Westminster,Robbery,High,2024-12-18 20:04:00,2024-12-19 07:04:00,"(51.519102, -0.113755)"
51.525516,-0.094141,City of London,Public order,Medium,2024-11-06 03:28:00,2024-11-07 10:28:00,"(51.516197, -0.073134)"
51.50085,-0.113319,Camden,Shoplifting,Low,2024-07-01 07:58:00,2024-07-02 04:58:00,"(51.494938, -0.075098)"
51.502409,-0.113059,Tower Hamlets,Violence and sexual offences,High,2024-07-07 13:43:00,2024-07-08 17:43:00,"(51.519827, -0.101059)"
51.486611,-0.110743,City of London,Robbery,High,2024-02-19 17:22:00,2024-02-21 05:22:00,"(51.507422, -0.107727)"
51.518168,-0.073753,Islington,Public order,Medium,2024-10-04 10:30:00,2024-10-04 23:30:00,"(51.487684, -0.087197)"
51.491127,-0.110328,Westminster,Robbery,High,2024-01-28 14:38:00,2024-01-28 18:38:00,"(51.509076, -0.115345)"
51.524392,-0.070361,City of London,Burglary,Medium,2024-04-15 10:24:00,2024-04-17 10:24:00,"(51.527491, -0.077502)"
51.494786,-0.109351,Southwark,Violence and sexual offences,High,2024-01-09 14:55:00,2024-01-10 03:55:00,"(51.498842, -0.101402)"
51.495877,-0.102144,Hackney,Violence and sexual offences,High,2024-03-22 08:31:00,2024-03-23 07:31:00,"(51.496938, -0.100848)"
51.52949,-0.11439,Hackney,Burglary,Medium,2024-01-01 04:18:00,2024-01-02 12:18:00,"(51.480713, -0.107939)"
51.485074,-0.082559,Tower Hamlets,Violence and sexual offences,High,2024-03-01 19:44:00,2024-03-01 21:44:00,"(51.505154, -0.085832)"
51.525401,-0.072507,Islington,Violence and sexual offences,High,2024-10-26 15:51:00,2024-10-28 04:51:00,"(51.495601, -0.074128)"
51.483699,-0.10151,Southwark,Shoplifting,Low,2024-02-19 23:24:00,2024-02-21 08:24:00,"(51.483491, -0.092663)"
51.5268,-0.103405,Camden,Theft,Low,2024-01-13 20:52:00,2024-01-15 15:52:00,"(51.50667, -0.108906)"
51.524388,-0.107435,Westminster,Drugs,Medium,2024-11-07 17:55:00,2024-11-09 08:55:00,"(51.517595, -0.099638)"
51.510032,-0.091084,Tower Hamlets,Violence and sexual offences,High,2024-11-18 23:39:00,2024-11-19 21:39:00,"(51.493287, -0.075507)"
51.5228,-0.079804,Hackney,Shoplifting,Low,2024-03-02 21:52:00,2024-03-03 23:52:00,"(51.489746, -0.07817)"
51.480616,-0.093225,City of London,Violence and sexual offences,High,2024-05-03 19:42:00,2024-05-03 21:42:00,"(51.52408, -0.070801)"
51.491288,-0.083009,Tower Hamlets,Drugs,Medium,2024-11-26 02:22:00,2024-11-26 14:22:00,"(51.515818, -0.101372)"
51.510275,-0.103772,Southwark,Bicycle theft,Low,2024-08-15 18:47:00,2024-08-16 09:47:00,"(51.521615, -0.106488)"
51.495418,-0.078732,City of London,Drugs,Medium,2024-11-12 03:31:00,2024-11-12 21:31:00,"(51.518268, -0.095415)"
51.506656,-0.072381,Tower Hamlets,Robbery,High,2024-10-01 19:55:00,2024-10-01 21:55:00,"(51.496983, -0.111785)"
51.504542,-0.11429,Southwark,Violence and sexual offences,High,2024-11-10 23:07:00,2024-11-11 14:07:00,"(51.527426, -0.108687)"
51.484285,-0.105746,Tower Hamlets,Robbery,High,2024-02-22 11:28:00,2024-02-22 13:28:00,"(51.495169, -0.115431)"
51.519582,-0.107622,Southwark,Burglary,Medium,2024-07-03 05:39:00,2024-07-05 05:39:00,"(51.499321, -0.09762)"
51.490219,-0.091471,Hackney,Shoplifting,Low,2024-07-06 14:48:00,2024-07-07 09:48:00,"(51.495065, -0.116798)"
51.522924,-0.119914,Westminster,Shoplifting,Low,2024-11-17 20:03:00,2024-11-19 05:03:00,"(51.495005, -0.106871)"
51.492889,-0.071941,City of London,Burglary,Medium,2024-10-22 04:29:00,2024-10-23 02:29:00,"(51.503553, -0.118501)"
51.515343,-0.09492,Camden,Bicycle theft,Low,2024-02-20 06:46:00,2024-02-20 08:46:00,"(51.502263, -0.090845)"
51.492241,-0.070769,Southwark,Bicycle theft,Low,2024-12-23 03:29:00,2024-12-23 16:29:00,"(51.49305, -0.097029)"
51.510451,-0.095975,Tower Hamlets,Violence and sexual offences,High,2024-02-13 10:04:00,2024-02-14 21:04:00,"(51.493244, -0.098428)"
51.495969,-0.076007,Camden,Burglary,Medium,2024-03-25 19:26:00,2024-03-27 04:26:00,"(51.498008, -0.073249)"
51.526145,-0.092212,Westminster,Drugs,Medium,2024-10-28 05:45:00,2024-10-29 17:45:00,"(51.488987, -0.112362)"
51.528499,-0.101188,Islington,Burglary,Medium,2024-12-26 00:25:00,2024-12-26 05:25:00,"(51.489637, -0.073349)"
51.496322,-0.083775,Camden,Bicycle theft,Low,2024-02-26 04:45:00,2024-02-26 14:45:00,"(51.515337, -0.095723)"
51.506628,-0.082008,Southwark,Robbery,High,2024-03-12 08:49:00,2024-03-13 09:49:00,"(51.505218, -0.089873)"
51.497592,-0.083901,City of London,Violence and sexual offences,High,2024-01-20 06:14:00,2024-01-20 08:14:00,"(51.51977, -0.073261)"
51.486248,-0.077737,Westminster,Shoplifting,Low,2024-12-22 11:09:00,2024-12-22 14:09:00,"(51.529035, -0.100125)"
51.50325,-0.10174,Tower Hamlets,Robbery,High,2024-05-09 08:26:00,2024-05-09 18:26:00,"(51.523491, -0.094112)"
51.51893,-0.113587,Southwark,Theft,Low,2024-04-16 11:44:00,2024-04-16 21:44:00,"(51.484192, -0.116068)"
51.485725,-0.093527,Hackney,Shoplifting,Low,2024-03-11 21:49:00,2024-03-12 08:49:00,"(51.49334, -0.100512)"
51.504254,-0.09821,Hackney,Theft,Low,2024-03-15 11:03:00,2024-03-16 20:03:00,"(51.510548, -0.096749)"
51.49935,-0.08413,Southwark,Theft,Low,2024-12-25 17:12:00,2024-12-27 02:12:00,"(51.515264, -0.111801)"
51.525581,-0.114302,Southwark,Shoplifting,Low,2024-03-09 22:35:00,2024-03-11 20:35:00,"(51.486465, -0.092013)"
51.508202,-0.107198,Camden,Robbery,High,2024-09-01 16:25:00,2024-09-02 23:25:00,"(51.490701, -0.097902)"
51.522152,-0.082672,Southwark,Drugs,Medium,2024-03-24 06:14:00,2024-03-25 05:14:00,"(51.510095, -0.109202)"
51.489269,-0.097751,Westminster,Shoplifting,Low,2024-02-19 00:27:00,2024-02-20 13:27:00,"(51.509454, -0.096156)"
51.488844,-0.084802,Southwark,Drugs,Medium,2024-01-07 05:37:00,2024-01-08 21:37:00,"(51.487607, -0.083093)"
51.522721,-0.109755,Camden,Drugs,Medium,2024-08-18 08:05:00,2024-08-18 22:05:00,"(51.515507, -0.087462)"
51.505973,-0.095141,Tower Hamlets,Robbery,High,2024-01-08 21:55:00,2024-01-10 16:55:00,"(51.502853, -0.088438)"
51.525966,-0.077479,City of London,Robbery,High,2024-04-28 08:49:00,2024-04-29 11:49:00,"(51.49442, -0.09737)"
51.50005,-0.096461,Southwark,Burglary,Medium,2024-08-12 11:55:00,2024-08-13 03:55:00,"(51.490926, -0.088893)"
51.501,-0.073324,Westminster,Burglary,Medium,2024-12-19 19:04:00,2024-12-21 10:04:00,"(51.492917, -0.074653)"
51.507721,-0.112742,City of London,Bicycle theft,Low,2024-06-01 10:56:00,2024-06-02 20:56:00,"(51.511377, -0.076994)"
51.50701,-0.097067,Camden,Violence and sexual offences,High,2024-08-16 15:37:00,2024-08-18 02:37:00,"(51.522558, -0.116649)"
51.497328,-0.111846,Southwark,Shoplifting,Low,2024-04-11 01:02:00,2024-04-11 14:02:00,"(51.493013, -0.110453)"
51.501339,-0.08356,Hackney,Theft,Low,2024-01-23 10:49:00,2024-01-23 21:49:00,"(51.509313, -0.080466)"
51.501771,-0.109575,Westminster,Shoplifting,Low,2024-04-14 16:04:00,2024-04-15 23:04:00,"(51.496882, -0.119782)"
51.512445,-0.093351,Southwark,Shoplifting,Low,2024-10-19 23:46:00,2024-10-21 08:46:00,"(51.523308, -0.115793)"
51.482472,-0.102953,Hackney,Burglary,Medium,2024-10-16 23:22:00,2024-10-17 10:22:00,"(51.518867, -0.10311)"
51.499985,-0.108746,Westminster,Public order,Medium,2024-12-20 17:52:00,2024-12-22 12:52:00,"(51.524114, -0.084216)"
51.497686,-0.075781,Tower Hamlets,Theft,Low,2024-08-03 08:09:00,2024-08-04 23:09:00,"(51.52287, -0.090734)"
51.507,-0.072846,City of London,Public order,Medium,2024-03-13 07:02:00,2024-03-14 09:02:00,"(51.509914, -0.079753)"
51.523486,-0.102186,Westminster,Robbery,High,2024-07-23 01:15:00,2024-07-23 06:15:00,"(51.490348, -0.106415)"
51.50616,-0.111648,Hackney,Violence and sexual offences,High,2024-01-09 13:43:00,2024-01-09 17:43:00,"(51.511506, -0.116064)"
51.498476,-0.100125,City of London,Burglary,Medium,2024-11-14 20:46:00,2024-11-15 16:46:00,"(51.515853, -0.116036)"
51.509838,-0.109502,Camden,Burglary,Medium,2024-02-27 12:20:00,2024-02-27 14:20:00,"(51.480113, -0.091378)"
51.489095,-0.112495,Islington,Bicycle theft,Low,2024-08-05 18:36:00,2024-08-06 04:36:00,"(51.522251, -0.078289)"
51.491024,-0.096204,City of London,Bicycle theft,Low,2024-09-09 22:29:00,2024-09-11 16:29:00,"(51.513331, -0.07208)"
51.522424,-0.112155,Camden,Shoplifting,Low,2024-11-05 22:24:00,2024-11-06 05:24:00,"(51.494946, -0.109087)"
51.529784,-0.102135,Camden,Public order,Medium,2024-07-16 19:53:00,2024-07-18 06:53:00,"(51.498693, -0.097077)"
51.494263,-0.100141,City of London,Violence and sexual offences,High,2024-08-11 22:19:00,2024-08-13 13:19:00,"(51.517885, -0.105581)"
51.527731,-0.083637,Camden,Public order,Medium,2024-01-08 00:27:00,2024-01-09 02:27:00,"(51.48653, -0.081831)"
51.521981,-0.110983,Islington,Public order,Medium,2024-01-09 14:44:00,2024-01-11 12:44:00,"(51.517462, -0.08965)"
51.490737,-0.083009,City of London,Violence and sexual offences,High,2024-08-11 22:36:00,2024-08-13 04:36:00,"(51.493238, -0.111882)"
51.528194,-0.107663,City of London,Theft,Low,2024-09-22 06:30:00,2024-09-23 16:30:00,"(51.529756, -0.108469)"
51.488895,-0.081209,City of London,Drugs,Medium,2024-04-01 09:30:00,2024-04-01 19:30:00,"(51.486831, -0.100916)"
51.523321,-0.074616,Southwark,Drugs,Medium,2024-11-07 11:21:00,2024-11-07 19:21:00,"(51.52262, -0.1168)"
51.496793,-0.109102,Hackney,Violence and sexual offences,High,2024-04-06 23:43:00,2024-04-08 08:43:00,"(51.527053, -0.082441)"
51.495625,-0.072913,Camden,Bicycle theft,Low,2024-04-21 04:54:00,2024-04-21 19:54:00,"(51.525084, -0.081765)"
51.504029,-0.108494,Camden,Drugs,Medium,2024-09-01 17:03:00,2024-09-02 23:03:00,"(51.511309, -0.079579)"
51.495956,-0.1003,Southwark,Bicycle theft,Low,2024-11-09 04:45:00,2024-11-09 18:45:00,"(51.489672, -0.110288)"
51.497296,-0.085505,Tower Hamlets,Violence and sexual offences,High,2024-11-10 21:31:00,2024-11-11 05:31:00,"(51.49185, -0.083946)"
51.528906,-0.109128,Camden,Burglary,Medium,2024-11-02 21:37:00,2024-11-04 16:37:00,"(51.495814, -0.104654)"
51.52245,-0.073913,Southwark,Burglary,Medium,2024-11-24 15:04:00,2024-11-25 19:04:00,"(51.485562, -0.095527)"
51.498931,-0.077108,Westminster,Robbery,High,2024-02-11 21:12:00,2024-02-12 20:12:00,"(51.493784, -0.081782)"
51.493622,-0.071725,Hackney,Robbery,High,2024-11-20 06:33:00,2024-11-21 21:33:00,"(51.494689, -0.085552)"
51.525066,-0.105534,Camden,Violence and sexual offences,High,2024-02-26 16:39:00,2024-02-27 23:39:00,"(51.495334, -0.073738)"
51.48388,-0.115544,Islington,Public order,Medium,2024-03-24 12:28:00,2024-03-24 20:28:00,"(51.486633, -0.085433)"
51.506588,-0.072543,Westminster,Theft,Low,2024-02-24 13:07:00,2024-02-24 17:07:00,"(51.49048, -0.102121)"
51.484411,-0.088965,City of London,Shoplifting,Low,2024-12-10 19:29:00,2024-12-12 00:29:00,"(51.513039, -0.10149)"
51.484658,-0.105531,Islington,Public order,Medium,2024-09-26 18:13:00,2024-09-28 08:13:00,"(51.510748, -0.106342)"
51.524741,-0.080609,Camden,Bicycle theft,Low,2024-05-24 09:13:00,2024-05-25 21:13:00,"(51.5126, -0.07335)"
51.501845,-0.0775,Tower Hamlets,Violence and sexual offences,High,2024-05-07 10:38:00,2024-05-07 13:38:00,"(51.481266, -0.112518)"
51.520179,-0.116503,Tower Hamlets,Theft,Low,2024-04-04 01:37:00,2024-04-05 04:37:00,"(51.517718, -0.112961)"
51.521325,-0.081652,Westminster,Violence and sexual offences,High,2024-12-06 08:17:00,2024-12-07 03:17:00,"(51.51932, -0.119097)"
51.496315,-0.105814,Hackney,Theft,Low,2024-09-08 12:32:00,2024-09-10 06:32:00,"(51.493637, -0.08434)"
51.50708,-0.114323,City of London,Robbery,High,2024-08-10 19:16:00,2024-08-12 05:16:00,"(51.49761, -0.111876)"
51.520188,-0.07755,Camden,Theft,Low,2024-04-02 15:36:00,2024-04-04 12:36:00,"(51.487355, -0.101333)"
51.503672,-0.096463,Tower Hamlets,Burglary,Medium,2024-09-02 02:48:00,2024-09-03 16:48:00,"(51.52217, -0.092889)"
51.513587,-0.109198,Islington,Violence and sexual offences,High,2024-01-25 00:25:00,2024-01-26 18:25:00,"(51.492917, -0.110276)"
51.512456,-0.112416,City of London,Burglary,Medium,2024-03-13 02:04:00,2024-03-13 07:04:00,"(51.518623, -0.119875)"
51.504555,-0.077793,Hackney,Public order,Medium,2024-02-11 13:17:00,2024-02-11 23:17:00,"(51.520481, -0.072179)"
